Messier,supernova remnant,8.4,unknown,1952,1
Messier,globular cluster,6.3,unknown,5272,3
Messier,globular cluster,5.6,unknown,5904,5
Messier,open cluster,3.3,6/30/23,6475,7
Messier,emission nebula,6,6/30/23,6523,8
Messier,open cluster,6.3,6/30/23,6705,11
Messier,globular cluster,5.8,unknown,6205,13
Messier,emission nebula,6.3,6/30/23,6514,20
Messier,open cluster,7.1,unknown,6913,29
Messier,spiral galaxy,3.4,unknown,224,31
Messier,elliptical galaxy,8.1,unknown,221,32
Messier,spiral galaxy,5.7,unknown,598,33
Messier,open cluster,5.5,unknown,1039,34
Messier,open cluster,5.3,unknown,2168,35
Messier,open cluster,6.3,unknown,1960,36
Messier,open cluster,6.2,unknown,2099,37
Messier,open cluster,7.4,unknown,1912,38
Messier,open cluster,4.6,unknown,7092,39
Messier,double star,8.4,unknown,0,40
Messier,open cluster,4.5,unknown,2287,41
Messier,diffuse nebula,4,unknown,1976,42
Messier,emission nebula,9,unknown,1982,43
Messier,open cluster,3.7,unknown,2632,44
Messier,open cluster,1.6,unknown,0,45
Messier,open cluster,6,unknown,2437,46
Messier,open cluster,4.4,unknown,2422,47
Messier,open cluster,5.8,unknown,2548,48
Messier,elliptical galaxy,8.4,unknown,4472,49
Messier,open cluster,5.9,unknown,2323,50
Messier,spiral galaxy,8.4,unknown,5194,51
Messier,globular cluster,7.6,unknown,5024,53
Messier,planetary nebula,8.8,unknown,6720,57
Messier,spiral galaxy,9.7,unknown,4579,58
Messier,elliptical galaxy,8.8,unknown,4649,60
Messier,spiral galaxy,9.3,unknown,3623,65
Messier,spiral galaxy,8.9,unknown,3627,66
Messier,open cluster,6.1,unknown,2682,67
Messier,reflection nebula,8.3,unknown,2068,78
Messier,globular cluster,7.7,unknown,1904,79
Messier,spiral galaxy,6.9,unknown,3031,81
Messier,starburst galaxy,8.4,unknown,3034,82
Messier,globular cluster,6.4,unknown,6341,92
Messier,open cluster,6,unknown,2447,93
Messier,spiral galaxy,9.7,unknown,3351,95
Messier,spiral galaxy,9.2,unknown,3368,96
Messier,open cluster,7.4,unknown,581,103
Messier,spiral galaxy,8,unknown,4594,104
Messier,elliptical galaxy,9.3,unknown,3379,105
NGC,elliptical galaxy,8.1,unknown,221
NGC,spiral galaxy,3.4,unknown,224
NGC,open cluster,6.4,unknown,457
NGC,open cluster,7.4,unknown,581
NGC,spiral galaxy,5.7,unknown,598
NGC,open cluster,7.1,unknown,663
NGC,open cluster,5.7,unknown,752
NGC,open cluster,3.8,unknown,884
NGC,open cluster,3.7,unknown,869
NGC,open cluster,5.5,unknown,1039
NGC,globular cluster,7.7,unknown,1904
NGC,open cluster,7.4,unknown,1912
NGC,supernova remnant,8.4,unknown,1952
NGC,open cluster,6.3,unknown,1960
NGC,diffuse nebula,4,unknown,1976
NGC,emission nebula,9,unknown,1982
NGC,reflection nebula,8.3,unknown,2068
NGC,open cluster,6.2,unknown,2099
NGC,open cluster,5.3,unknown,2168
NGC,open cluster,5.9,unknown,2169
NGC,open cluster,4.8,unknown,2244
NGC,open cluster,4.5,unknown,2287
NGC,open cluster,5.9,unknown,2323
NGC,open cluster,3.8,unknown,2362
NGC,planetary nebula,10.1,unknown,2392
NGC,open cluster,4.4,unknown,2422
NGC,open cluster,6,unknown,2437
NGC,open cluster,6,unknown,2447
NGC,open cluster,5.8,unknown,2548
NGC,open cluster,3.7,unknown,2632
NGC,open cluster,6.1,unknown,2682
NGC,spiral galaxy,6.9,unknown,3031
NGC,starburst galaxy,8.4,unknown,3034
NGC,planetary nebula,8.6,unknown,3242
NGC,spiral galaxy,9.7,unknown,3351
NGC,spiral galaxy,9.2,unknown,3368
NGC,elliptical galaxy,9.3,unknown,3379
NGC,elliptical galaxy,10.9,unknown,3384
NGC,spiral galaxy,11.8,unknown,3389
NGC,spiral galaxy,9.3,unknown,3623
NGC,spiral galaxy,8.9,unknown,3627
NGC,spiral galaxy,9.7,unknown,4303
NGC,elliptical galaxy,8.4,unknown,4472
NGC,spiral galaxy,9.7,unknown,4579
NGC,spiral galaxy,10.2,unknown,4592
NGC,globular cluster,7.6,unknown,5024
NGC,globular cluster,3.9,unknown,5139
NGC,spiral galaxy,8.4,unknown,5194
NGC,dwarf galaxy,10.5,unknown,5195
NGC,globular cluster,6.3,unknown,5272
NGC,globular cluster,5.6,unknown,5904
NGC,globular cluster,5.8,unknown,6205
NGC,globular cluster,6.4,unknown,6341
NGC,planetary nebula,8.8,unknown,6720
NGC,planetary nebula,8.8,unknown,6826
NGC,open cluster,7.1,unknown,6913
NGC,open cluster,4.6,unknown,7092
NGC,open cluster,3.3,6/30/23,6475
NGC,emission nebula,6,6/30/23,6523
NGC,open cluster,6.3,6/30/23,6705
NGC,emission nebula,6.3,6/30/23,6514
NGC,elliptical galaxy,8.8,unknown,4649
NGC,spiral galaxy,8,unknown,4594
NGC,planetary nebula,9.8,unknown,6543
Caldwell,planetary nebula,9.8,unknown,6543,6
Caldwell,open cluster,7.1,unknown,663,10
Caldwell,open cluster,6.4,unknown,457,13
Caldwell,open cluster,3.7,unknown,869,14
Caldwell,planetary nebula,8.8,unknown,6826,15
Caldwell,open cluster,5.7,unknown,752,28
Caldwell,planetary nebula,10.1,unknown,2392,39
Caldwell,open cluster,0.5,unknown,0,41
Caldwell,open cluster,4.8,unknown,2244,50
Caldwell,planetary nebula,8.6,unknown,3242,59
Caldwell,open cluster,3.8,unknown,2362,64
Caldwell,globular cluster,3.9,unknown,5139,80
IC,open cluster,4.2,unknown,4665
NonNGC,open cluster,3.6,unknown,Collinder,399
Satellite,25544,11/20/98,International Space Station
